Substance (GSM),Calliper (µ),Bulk (cm3/g),Bending resistance L&W mN MD,Bending resistance L&W mN CD,Bending resistance L&W mN GM
190,270,1.42,114,57,81
200,284,1.42,126,63,89
210,298,1.42,142,71,100
220,312,1.42,162,81,115
230,334,1.45,183,91,129
250,362,1.45,233,120,167
270,400,1.48,288,148,207
300,450,1.50,386,203,280
320,480,1.50,459,242,333
350,525,1.50,589,319,433
380,570,1.50,715,386,525
400,600,1.50,832,451,612
Tol. : ± 3%,± 5%,± 5%,,,± 15%
