Substance (GSM),Calliper (µ),Bulk (cm³/g),Bending resistance MD (mN),Bending resistance CD (mN),Bending resistance GM (mN)
150,233,1.55,68,34,48
160,248,1.55,88,44,62
170,264,1.55,102,51,72
180,279,1.55,114,57,81
190,295,1.55,134,67,95
200,314,1.57,166,83,117
230,368,1.60,227,114,161
240,384,1.60,276,138,195
250,400,1.60,329,164,232
280,454,1.62,438,219,310
300,486,1.62,536,268,379
Tol. : ± 3%,± 5%,± 5%,,,± 15%
